id,weibo_content,weibo_place,publish_time,publish_tool,up_num,retweet_num,comment_num
63,"转发理由:[good][握手][耶]
原始用户: 丹麦驻华大使馆
转发内容: 神秘嘉宾的有奖问答偷跑啦！@六小龄童 老师送上的祝福大家接住了吗？麦麦还准备了更多优惠券和礼品，关注直播，参与互动，我们晚上6:30见！ 丹麦驻华大使馆的秒拍视频",无,2018-11-04 14:22,iPhone 7 Plus,2404,48,0
64,#电视剧黄土高天# 阚卫平导演的又一力作[耶][作揖][祈祷] @門敢鼎盛 @黄土高天官微,无,2018-11-03 08:59,iPhone 7 Plus,1039,55,0
65,《人民日报》今天(海外版）：美猴王现身上海 助力冬奥会吉祥物[耶][握手][祈祷]@人民日报海外版-海外网,无,2018-11-02 19:34,iPhone 7 Plus,2524,81,1
66,"转发理由:[祈祷][祈祷][祈祷][祈祷][祈祷][祈祷]
原始用户: 人民网
转发内容: #人民网快讯#【重庆万州公交车坠江原因公布：乘客与司机激烈争执#互殴致车辆失控#】11月2日，记者从重庆万州公交车坠江事故原因新闻通气会上获悉，10月28日上午10时8分，重庆市万州区一辆公交车与一辆小轿车在万州区长江二桥相撞后，公交车坠入江中。事故发生后，党中央、国务院高度重视，国家应急管理 全",无,2018-11-02 12:52,iPhone 7 Plus,1564,47,0
67,"转发理由:[耶][握手][祈祷]
原始用户: 丝路凝聚力盛典
转发内容: #2018年丝路凝聚力盛典# #六小龄童[超话]# 他是几代人寒暑假时最经典的记忆，陪伴无数人成长。他在《西游记》中塑造的孙悟空成为无法超越的经典，他完美演绎了一片诚心一往无前。孙悟空是他，但他不仅是孙悟空，更是在影视、公益多方面有着卓越贡献的老艺术家。他是国家一级演员@六小龄童 ，也是丝路传承艺术家：传承丝路精神，凝聚榜样力量，以影为桥，传承影人匠心精神。",无,2018-11-01 17:51,iPhone 7 Plus,2180,58,0
68,继春艺友加油[good][握手][耶]@李继春无谓 @DJ张景植 http://t.cn/EwVbx6F,无,2018-11-01 14:53,iPhone 7 Plus,1508,16,0
69,云南师范大学“六小龄童图书阁”（今天）[握手][耶][祈祷]@云南师范大学 @云师青团,无,2018-11-01 14:01,iPhone 7 Plus,3010,219,1
70,“西南联合大学在昆建校暨云南师范大学建校80周年纪念大会”盛典今天上午在大昆明隆重举行[good][握手][耶]@贰零壹陆影视传媒 @儒意影业 @行走的禅文化 @游福 @云师青团 @云南师范大学,无,2018-11-01 12:42,iPhone 7 Plus,2760,102,1
71,昨天下午《行者》与大昆明的部分中小学生共话西游[good][握手][耶]@贰零壹陆影视传媒 @儒意影业 @游福 @行走的禅文化 @长江文艺出版社 @北京长江新世纪,无,2018-11-01 08:50,iPhone 7 Plus,2135,59,1
72,祝“观音菩萨”左大玢老师生日快乐！[蛋糕][礼物][耶],无,2018-11-01 08:13,iPhone 7 Plus,129988,1650,13
73,今晚在昆明理工大学礼堂与云南师范大学的1000多名师生及云南省内的1000多名中小学校长共话西游[good][握手][耶]@贰零壹陆影视传媒 @儒意影业 @行走的禅文化 @游福 @云师青团 @云南师范大学 @昆明理工大学微博协会,无,2018-10-31 22:31,iPhone 7 Plus,3171,112,2
74,今晚与我的良师益友：照片右为原清华大学校长顾秉林院士，左为原南开大学校长饶子和院士[good][握手][作揖],无,2018-10-31 22:00,iPhone 7 Plus,4927,71,0
75,@人民日报 ：六小龄童做客荆楚书香节，首部自传《行者》英文版圆满签约（今天）,无,2018-10-31 20:00,iPhone 7 Plus,1233,42,0
76,今天上午九时，应邀出席在云南大昆明举行的“西南联大博物馆开馆暨云南师范大学建校80周年、《西南联大口述历史》首发仪式”，与清华大学原校长顾秉林先生、云南师范大学党委书记饶卫先生及校长蒋永文先生、部分学生留影[good][握手][耶]@云南师范大学 @贰零壹陆影视传媒 @儒意影业 @游福  全,无,2018-10-31 12:02,iPhone 7 Plus,4017,573,0
77,恳请大家帮忙转一下好吗？一位也行！[祈祷][作揖][握手]http://t.cn/EwAKCEs,无,2018-10-31 10:14,iPhone 7 Plus,4434,2421,0
78,[祈祷][祈祷][祈祷][作揖][作揖][作揖]虹口各界公祭鲁迅先生文,无,2018-10-31 08:05,iPhone 7 Plus,1603,59,0
79,尊敬的王光英先生，一路走好！[泪][泪][泪][祈祷][祈祷][祈祷],无,2018-10-30 20:16,iPhone 7 Plus,11830,370,2
80,"转发理由:有幸出演过根据金庸先生的小说《连城诀》改编的同名电视剧，愿金大侠一路走好！[祈祷][祈祷][祈祷][祈祷][祈祷][祈祷]
原始用户: 央视新闻
转发内容: 【金庸逝世，享年94岁】据香港媒体报道，武侠小说泰斗金庸（本名查良镛）逝世，享年94岁。他的代表作有《射雕英雄传》、《神雕侠侣》、《鹿鼎记》等，其作品流行的程度，被誉为“凡是有华人的地方，就有金庸的读者”。此刻，#送别金庸#！（央视记者茆丹）",无,2018-10-30 19:55,iPhone 7 Plus,22272,1081,7
81,大武汉之行圆满成功，谢谢大家的同心协力，共谱华章。[good][握手][耶]@北京长江新世纪 @长江文艺出版社 @荆楚网 @武汉晚报 @咸宁日报社,无,2018-10-30 16:48,iPhone 7 Plus,2125,75,1
82,[作揖][祈祷][耶]@品牌联盟 @王永,无,2018-10-29 21:55,iPhone 7 Plus,1914,64,1
83,与湖北咸宁实验外国语学校师生们共话西游 六小龄童的秒拍视频,无,2018-10-29 18:09,iPhone 7 Plus,2020,87,1
84,@荆楚网 ：六小龄童做客第二届荆楚书香节 首部自传《行者》英文版圆满签约[good][握手][耶] 六小龄童做客第二届荆楚书香节 首部自传《行者》英文版圆满签约,无,2018-10-29 13:48,iPhone 7 Plus,1169,31,0
85,"转发理由:天堂、人间都将留下你永远的笑声[祈祷][祈祷][祈祷][祈祷][祈祷][祈祷]
原始用户: 法图麦的妈妈
转发内容: 在美国，经过17个月的抗癌治疗，2018年10月25日凌晨5点20分，永失我爱…… 美国",无,2018-10-29 13:20,iPhone 7 Plus,7574,155,2
86,"转发理由:[握手][good][耶]
原始用户: 长江日报记者余丹夏
转发内容: 时隔5年，再会六小龄童（章金莱）老师，章氏猴王世家四代百年传承，令人肃然起敬！李安琪导演是我大学的老师，年近八旬，仍神采奕奕。有缘与两位大师相识，一直被他们感动着。@六小龄童 @武汉传媒学院 @长江日报 @武汉晚报 @中国传媒大学校团委 @文中全 @武汉宗微 【武汉七旬导演与两代美猴王结缘】武汉七旬导演与两代美猴王结缘",无,2018-10-29 12:02,iPhone 7 Plus,1481,31,0
87,央视版电视剧《西游记》中托塔李天王的扮演者、国家话剧院著名演员王玉立先生塑造的托塔李天王得到了观众中的认可。今天是王玉立先生去世一周年忌日，感谢他在西游路上作出的杰出贡献，他的去世是中国话剧、配音、影视界的一大损失，喜欢央视版《西游记》的观众不会忘记他。[祈祷][祈祷][祈祷][祈祷][祈祷][祈祷],无,2018-10-29 08:09,iPhone 7 Plus,10057,195,1
88,衷心地感谢大武汉的男女老少读者朋友们对我的热情支持（今天）[good][握手] @童丝薇薇 @木子拂 [作揖] 六小龄童的秒拍视频,无,2018-10-28 20:50,iPhone 7 Plus,2334,51,1
89,武汉国际会展中心，《行者》来也[耶][good][握手]@北京长江新世纪 @长江文艺出版社 六小龄童的秒拍视频,无,2018-10-28 15:58,iPhone 7 Plus,1825,55,1
90,《行者》（英文版）今天下午大武汉举行盛大签约仪式[耶]首都机场等待起飞[祈祷][握手][作揖]@北京长江新世纪 @长江文艺出版社,无,2018-10-28 07:48,iPhone 7 Plus,2828,65,0
91,可敬的年轻军人 六小龄童的秒拍视频,无,2018-10-27 20:41,iPhone 7 Plus,4863,272,0
92,北京电视台文艺频道《每日文娱播报》（今天）[good][握手][耶]@每日文娱播报,无,2018-10-27 13:56,iPhone 7 Plus,4101,53,1
